bas_raw,point_type,haystack
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5202 Reception/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5204 Reception Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5205 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5206 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5208 Conference Room/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5209 Study Carrells/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5214 Storage/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5222 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Fan Coil CHW Vlv","Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Fan Coil HW Vlv","Fan Coil HW Vlv","fcu vfd hot water valve"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/FANCOIL ALARM","FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/FANCOIL HAND","FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FCU-18a/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Fan Coil CHW Vlv","Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Fan Coil HW Vlv","Fan Coil HW Vlv","fcu vfd hot water valve"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/FANCOIL ALARM","FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/FANCOIL HAND","FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FCU-18b/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Fan Coil CHW Vlv","Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FCU-8/FANCOIL ALARM","FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-8/FANCOIL HAND","FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FCU-8/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FCU-8/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FCU-8/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FSB-2 Room 4303 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Run","Run","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fourth Floor/FSB-3 Room 4301 Classroom/ZTMP LO","ZTMP LO","zone air temp min"
